date;adj close
19/02/2016;0.283000
22/02/2016;0.293000
23/02/2016;0.318000
24/02/2016;0.315000
25/02/2016;0.310000
26/02/2016;0.303000
29/02/2016;0.308000
01/03/2016;0.320000
02/03/2016;0.303000
03/03/2016;0.263000
04/03/2016;0.265000
07/03/2016;0.265000
08/03/2016;0.305000
09/03/2016;0.288000
10/03/2016;0.303000
11/03/2016;0.308000
14/03/2016;0.308000
15/03/2016;0.325000
16/03/2016;0.300000
17/03/2016;0.275000
18/03/2016;0.280000
21/03/2016;0.288000
22/03/2016;0.295000
23/03/2016;0.293000
24/03/2016;0.275000
28/03/2016;0.255000
29/03/2016;0.225000
30/03/2016;0.185000
31/03/2016;0.193000
01/04/2016;0.218000
04/04/2016;0.183000
05/04/2016;0.218000
06/04/2016;0.220000
07/04/2016;0.220000
08/04/2016;0.218000
11/04/2016;0.210000
12/04/2016;0.230000
13/04/2016;0.223000
14/04/2016;0.215000
15/04/2016;0.210000
18/04/2016;0.198000
19/04/2016;0.215000
20/04/2016;0.218000
21/04/2016;0.225000
22/04/2016;0.225000
25/04/2016;0.238000
26/04/2016;0.245000
27/04/2016;0.245000
28/04/2016;0.210000
29/04/2016;0.193000
02/05/2016;0.185000
03/05/2016;0.203000
04/05/2016;0.198000
05/05/2016;0.183000
06/05/2016;0.180000
09/05/2016;0.203000
10/05/2016;0.243000
11/05/2016;0.248000
12/05/2016;0.258000
13/05/2016;0.258000
16/05/2016;0.258000
17/05/2016;0.268000
18/05/2016;0.270000
19/05/2016;0.290000
20/05/2016;0.298000
23/05/2016;0.313000
24/05/2016;0.343000
25/05/2016;0.315000
26/05/2016;0.275000
27/05/2016;0.298000
31/05/2016;0.283000
01/06/2016;0.295000
02/06/2016;0.270000
03/06/2016;0.270000
06/06/2016;0.250000
07/06/2016;0.265000
08/06/2016;0.235000
09/06/2016;0.240000
10/06/2016;0.240000
13/06/2016;0.245000
14/06/2016;0.263000
15/06/2016;0.255000
16/06/2016;0.245000
17/06/2016;0.248000
20/06/2016;0.248000
21/06/2016;0.265000
22/06/2016;0.268000
23/06/2016;0.275000
24/06/2016;0.238000
27/06/2016;0.235000
28/06/2016;0.260000
29/06/2016;0.255000
30/06/2016;0.248000
01/07/2016;0.243000
05/07/2016;0.238000
06/07/2016;0.263000
07/07/2016;0.270000
08/07/2016;0.273000
11/07/2016;0.275000
12/07/2016;0.295000
13/07/2016;0.298000
14/07/2016;0.303000
15/07/2016;0.298000
18/07/2016;0.288000
19/07/2016;0.310000
20/07/2016;0.315000
21/07/2016;0.303000
22/07/2016;0.303000
25/07/2016;0.298000
26/07/2016;0.308000
27/07/2016;0.283000
28/07/2016;0.220000
29/07/2016;0.240000
01/08/2016;0.238000
02/08/2016;0.280000
03/08/2016;0.268000
04/08/2016;0.248000
05/08/2016;0.250000
08/08/2016;0.250000
09/08/2016;0.293000
10/08/2016;0.273000
11/08/2016;0.275000
12/08/2016;0.263000
15/08/2016;0.275000
16/08/2016;0.288000
17/08/2016;0.288000
18/08/2016;0.285000
19/08/2016;0.293000
22/08/2016;0.280000
23/08/2016;0.305000
24/08/2016;0.305000
25/08/2016;0.305000
26/08/2016;0.305000
29/08/2016;0.305000
30/08/2016;0.325000
31/08/2016;0.320000
01/09/2016;0.315000
02/09/2016;0.303000
06/09/2016;0.303000
07/09/2016;0.330000
08/09/2016;0.333000
09/09/2016;0.333000
12/09/2016;0.350000
13/09/2016;0.345000
14/09/2016;0.315000
15/09/2016;0.278000
16/09/2016;0.273000
19/09/2016;0.238000
20/09/2016;0.288000
21/09/2016;0.223000
22/09/2016;0.160000
23/09/2016;0.165000
26/09/2016;0.173000
27/09/2016;0.255000
28/09/2016;0.263000
29/09/2016;0.235000
30/09/2016;0.260000
03/10/2016;0.288000
04/10/2016;0.315000
05/10/2016;0.313000
06/10/2016;0.310000
07/10/2016;0.310000
11/10/2016;0.320000
12/10/2016;0.340000
13/10/2016;0.275000
14/10/2016;0.290000
17/10/2016;0.295000
18/10/2016;0.333000
19/10/2016;0.323000
20/10/2016;0.320000
21/10/2016;0.315000
24/10/2016;0.313000
25/10/2016;0.325000
26/10/2016;0.313000
27/10/2016;0.275000
28/10/2016;0.273000
31/10/2016;0.295000
01/11/2016;0.345000
02/11/2016;0.345000
03/11/2016;0.358000
04/11/2016;0.358000
07/11/2016;0.390000
08/11/2016;0.420000
09/11/2016;0.418000
10/11/2016;0.458000
14/11/2016;0.503000
15/11/2016;0.488000
16/11/2016;0.453000
17/11/2016;0.420000
18/11/2016;0.418000
21/11/2016;0.420000
22/11/2016;0.475000
23/11/2016;0.485000
25/11/2016;0.480000
28/11/2016;0.450000
29/11/2016;0.468000
30/11/2016;0.468000
01/12/2016;0.458000
02/12/2016;0.455000
05/12/2016;0.453000
06/12/2016;0.485000
07/12/2016;0.488000
08/12/2016;0.490000
09/12/2016;0.520000
12/12/2016;0.500000
13/12/2016;0.523000
14/12/2016;0.523000
15/12/2016;0.488000
16/12/2016;0.485000
19/12/2016;0.478000
20/12/2016;0.513000
21/12/2016;0.503000
22/12/2016;0.493000
23/12/2016;0.500000
27/12/2016;0.495000
28/12/2016;0.495000
29/12/2016;0.440000
30/12/2016;0.480000
03/01/2017;0.475000
04/01/2017;0.518000
05/01/2017;0.508000
06/01/2017;0.503000
09/01/2017;0.485000
10/01/2017;0.503000
11/01/2017;0.498000
12/01/2017;0.503000
13/01/2017;0.513000
17/01/2017;0.513000
18/01/2017;0.515000
19/01/2017;0.503000
20/01/2017;0.480000
23/01/2017;0.473000
24/01/2017;0.493000
25/01/2017;0.483000
26/01/2017;0.488000
27/01/2017;0.498000
30/01/2017;0.495000
31/01/2017;0.500000
01/02/2017;0.500000
02/02/2017;0.488000
03/02/2017;0.488000
06/02/2017;0.503000
07/02/2017;0.525000
08/02/2017;0.525000
09/02/2017;0.528000
10/02/2017;0.523000
13/02/2017;0.523000
14/02/2017;0.535000
15/02/2017;0.520000
16/02/2017;0.508000
17/02/2017;0.508000
21/02/2017;0.505000
22/02/2017;0.510000
23/02/2017;0.498000
24/02/2017;0.498000
27/02/2017;0.490000
28/02/2017;0.523000
01/03/2017;0.615000
02/03/2017;0.645000
03/03/2017;0.683000
06/03/2017;0.705000
07/03/2017;0.735000
08/03/2017;0.708000
