DATE;AMZN;DIS;BA;HLT;CCL
6/28/2016;707,950012;90,617714;113,051552;42,803036;38,689545
6/29/2016;715,599976;91,495132;115,880363;44,334545;39,344246
6/30/2016;715,619995;92,287613;118,508415;44,811913;39,105358
7/1/2016;725,679993;92,485725;118,344154;45,508053;39,689293
7/5/2016;728,099976;92,136665;115,862114;44,513565;38,70723
7/6/2016;737,609985;92,881973;115,852982;44,891468;38,202938
7/7/2016;736,570007;93,518692;116,044609;45,428493;38,769161
7/8/2016;745,809998;94,668541;118,70916;46,403099;39,388474
7/11/2016;753,780029;95,010651;120,488571;46,661663;40,370533
7/12/2016;748,210022;95,219711;119,366165;47,258366;41,326057
7/13/2016;742,630005;94,915611;118,727409;46,9799;41,272976
7/14/2016;741,200012;95,001144;120,041435;47,158913;40,981007
7/15/2016;735,440002;94,839592;120,807938;47,318031;40,096268
7/18/2016;736,070007;95,172203;121,756966;47,715828;40,361691
7/19/2016;739,950012;94,526001;122,879349;47,516926;39,928165
7/20/2016;745,719971;93,33812;122,934128;47,735718;40,715588
7/21/2016;744,429993;93,138565;121,848213;47,676044;40,096268
7/22/2016;744,859985;92,853477;121,793449;48,411964;40,644806
7/25/2016;739,609985;92,549377;121,309822;47,616383;40,97216
7/26/2016;735,590027;91,884163;123,052734;47,47715;40,848297
7/27/2016;736,669983;91,542076;124,065628;46,084854;40,981007
7/28/2016;752,609985;91,142944;121,37368;45,527935;41,140259
7/29/2016;758,809998;91,180946;121,966843;46,124645;41,334904
8/1/2016;767,73999;90,791344;121,556206;46,383205;41,326057
8/2/2016;760,580017;90,287674;120,087067;45,488163;40,043186
8/3/2016;754,640015;91,313988;120,33345;45,408604;40,370533
8/4/2016;760,77002;90,430222;119,731178;45,905849;40,839443
8/5/2016;765,97998;91,066917;120,205673;46,641773;41,626862
8/8/2016;766,559998;90,990891;120,625458;47,377693;41,122566
8/9/2016;768,309998;91,865158;121,017822;47,099243;39,857388
8/10/2016;768,559998;92,99601;121,707878;46,860565;40,202438
8/11/2016;771,23999;92,910484;122,370308;47,059464;40,627106
8/12/2016;772,559998;92,026711;122,462334;47,556721;40,733284
8/15/2016;768,48999;92,273796;123,897667;47,974396;40,830608
8/16/2016;764,039978;92,064728;124,210487;48,471634;41,21104
8/17/2016;764,630005;92,055237;123,952888;48,431747;41,573784
8/18/2016;764,460022;91,846169;124,210487;48,172447;41,379135
8/19/2016;757,309998;91,599083;123,695229;48,21233;41,255276
8/22/2016;759,47998;91,104927;124,201279;48,172447;41,502995
8/23/2016;762,450012;91,199959;123,41922;48,132542;42,281567
8/24/2016;757,25;91,057411;122,637154;48,21233;42,147884
8/25/2016;759,219971;90,800842;122,351921;48,272175;42,058758
8/26/2016;769;90,477737;121,661873;47,913124;41,978539
8/29/2016;771,289978;90,154625;122,278328;47,87323;42,049831
8/30/2016;767,580017;90,145119;120,355362;47,434395;42,254829
